provincia_completa,empleo_prom,salario_prom,ln_empleo_prom,provincia_tratada,aglomerado,gen,edad,e_civil,ht_ocup,nivel_ed,cond_act,cond_parent,alfabet,cat_ocup,percap_fam,tama_aglomerado,nivel_pobreza,cond_pobre
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,5,5.0,,7,4,5,2.0,,1244.44,S,0.306878907068789,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,-1,5.0,,7,4,5,3.0,,1244.44,S,0.306878907068789,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,26,5.0,,1,3,9,1.0,,1244.44,S,0.306878907068789,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,18,5.0,4.0,3,1,9,1.0,3.0,1244.44,S,0.306878907068789,1
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,46,3.0,36.0,2,1,3,1.0,3.0,8425.0,S,2.0776050207760504,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,77,2.0,,2,3,1,1.0,,4500.0,S,1.109700011097,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,72,2.0,,4,3,2,1.0,,4500.0,S,1.109700011097,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,47,5.0,30.0,5,1,1,1.0,3.0,11500.0,S,2.835900028359,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,10,5.0,,1,3,3,1.0,,11500.0,S,2.835900028359,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,23,1.0,,5,3,1,1.0,,12000.0,S,2.959200029592,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,26,1.0,36.0,4,1,2,1.0,3.0,12000.0,S,2.959200029592,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,40,5.0,36.0,4,1,1,1.0,3.0,8500.0,S,2.0961000209610003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,9,5.0,,1,4,3,1.0,,8500.0,S,2.0961000209610003,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,40,2.0,25.0,6,1,1,1.0,3.0,16166.67,S,3.986700861867008,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,33,2.0,40.0,6,1,2,1.0,3.0,16166.67,S,3.986700861867008,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,4,5.0,,7,4,3,2.0,,16166.67,S,3.986700861867008,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,2,47,3.0,55.0,6,1,1,1.0,3.0,22500.0,S,5.548500055485,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,52,3.0,60.0,5,1,1,1.0,3.0,37500.0,S,9.247500092475,0
buenos_aires,2861.9506315911462,30038.444987356583,6.350851392019366,1,2,1,86,4.0,,2,3,1,1.0,,6800.0,S,1.6768800167688,0
